Date,Open,High,Low,Close,Adj Close,Volume
1/5/1970,3.265625,3.304688,3.257813,3.28125,0.49462,1121600
1/6/1970,3.28125,3.296875,3.21875,3.234375,0.487554,553600
1/7/1970,3.234375,3.242188,3.195313,3.226563,0.486377,451200
1/8/1970,3.265625,3.3125,3.265625,3.289063,0.495798,635200
1/9/1970,3.289063,3.296875,3.273438,3.296875,0.496975,515200
1/12/1970,3.296875,3.320313,3.25,3.273438,0.493443,334400
1/13/1970,3.273438,3.273438,3.21875,3.226563,0.486377,372800
1/14/1970,3.226563,3.226563,3.101563,3.125,0.471067,1124800
1/15/1970,3.125,3.140625,3.101563,3.117188,0.469889,336000
1/16/1970,3.117188,3.125,3.085938,3.117188,0.469889,425600
1/19/1970,3.117188,3.117188,3.085938,3.109375,0.468711,508800
1/20/1970,3.109375,3.109375,3.070313,3.078125,0.464001,588800
1/21/1970,3.078125,3.085938,3.046875,3.054688,0.460468,454400
1/22/1970,3.054688,3.09375,3.03125,3.0625,0.461645,640000
1/23/1970,3.0625,3.0625,3.03125,3.046875,0.45929,427200
1/26/1970,3.046875,3.046875,2.976563,3.023438,0.455757,732800
1/27/1970,3.015625,3.015625,2.945313,3.015625,0.454579,540800
1/28/1970,3.015625,3.03125,2.914063,2.914063,0.43927,499200
1/29/1970,2.914063,2.9375,2.875,2.90625,0.438092,696000
1/30/1970,2.90625,2.9375,2.859375,2.882813,0.434559,817600
2/2/1970,2.882813,2.90625,2.859375,2.875,0.433382,937600
2/3/1970,2.875,2.882813,2.84375,2.851563,0.429849,1971200
2/4/1970,2.851563,2.882813,2.851563,2.875,0.440134,534400
2/5/1970,2.875,2.875,2.851563,2.875,0.440134,337600
2/6/1970,2.875,2.875,2.851563,2.859375,0.437742,272000
2/9/1970,2.859375,2.875,2.851563,2.851563,0.436546,558400
2/10/1970,2.851563,2.867188,2.703125,2.703125,0.413822,996800
2/11/1970,2.703125,2.765625,2.640625,2.765625,0.42339,878400
2/12/1970,2.765625,2.796875,2.671875,2.703125,0.413822,816000
2/13/1970,2.703125,2.757813,2.664063,2.71875,0.416214,492800
2/16/1970,2.71875,2.75,2.695313,2.75,0.420998,488000
2/17/1970,2.75,2.757813,2.710938,2.734375,0.418606,451200
2/18/1970,2.75,2.8125,2.75,2.804688,0.42937,1028800
2/19/1970,2.8125,2.859375,2.8125,2.835938,0.434154,824000
2/20/1970,2.835938,2.875,2.835938,2.875,0.440134,1166400
2/24/1970,2.875,2.875,2.851563,2.875,0.440134,1043200
2/25/1970,2.890625,2.96875,2.890625,2.96875,0.454486,593600
2/26/1970,2.96875,3.023438,2.960938,3,0.45927,862400
2/27/1970,3,3.03125,2.96875,2.96875,0.454486,1246400
3/2/1970,2.96875,2.96875,2.890625,2.914063,0.446114,518400
3/3/1970,2.914063,2.9375,2.851563,2.898438,0.443722,544000
3/4/1970,2.898438,2.929688,2.867188,2.875,0.440134,422400
3/5/1970,2.867188,2.867188,2.835938,2.859375,0.437742,684800
3/6/1970,2.859375,2.882813,2.84375,2.882813,0.44133,481600
3/9/1970,2.882813,2.921875,2.84375,2.867188,0.438938,524800
3/10/1970,2.867188,2.898438,2.851563,2.882813,0.44133,430400
3/11/1970,2.882813,2.898438,2.875,2.882813,0.44133,843200
3/12/1970,2.882813,2.882813,2.851563,2.867188,0.438938,539200
3/13/1970,2.867188,2.867188,2.796875,2.828125,0.432958,688000
3/16/1970,2.804688,2.804688,2.703125,2.804688,0.42937,732800
3/17/1970,2.804688,2.820313,2.765625,2.804688,0.42937,564800
3/18/1970,2.804688,2.859375,2.789063,2.828125,0.432958,436800
3/19/1970,2.828125,2.828125,2.757813,2.757813,0.422194,827200
3/20/1970,2.757813,2.765625,2.734375,2.765625,0.42339,372800
3/23/1970,2.75,2.75,2.710938,2.734375,0.418606,539200
