Date,Open,High,Low,Close,Adj Close,Volume
12/1/2005,3.35,3.4,3.21,3.4,3.4,4848400
12/2/2005,3.39,3.42,3.35,3.4,3.4,206500
12/5/2005,3.42,3.42,3.35,3.4,3.4,63900
12/6/2005,3.4,3.4,3.31,3.34,3.34,97900
12/7/2005,3.3,3.35,3.2,3.26,3.26,97400
12/8/2005,3.28,3.4,3.26,3.39,3.39,232400
12/9/2005,3.4,3.57,3.4,3.5,3.5,203100
12/12/2005,3.5,3.52,3.45,3.49,3.49,130600
12/13/2005,3.5,3.53,3.49,3.53,3.53,54900
12/14/2005,3.53,3.53,3.5,3.5,3.5,107700
12/15/2005,3.5,3.53,3.45,3.53,3.53,63800
12/16/2005,3.53,3.53,3.47,3.47,3.47,332400
12/19/2005,3.47,3.53,3.42,3.53,3.53,93600
12/20/2005,3.75,4.1,3.73,3.94,3.94,492300
12/21/2005,3.92,4,3.86,3.91,3.91,171600
12/22/2005,3.89,4.08,3.89,4.05,4.05,163500
12/23/2005,4.08,4.11,3.97,4,4,52800
12/27/2005,4,4,3.84,3.85,3.85,96500
12/28/2005,3.85,3.87,3.79,3.84,3.84,72200
12/29/2005,3.81,3.92,3.81,3.85,3.85,236900
12/30/2005,3.82,3.98,3.8,3.97,3.97,214700
1/3/2006,3.97,3.97,3.89,3.93,3.93,507000
1/4/2006,3.94,3.94,3.88,3.9,3.9,99800
1/5/2006,3.9,3.94,3.84,3.93,3.93,125400
1/6/2006,4.12,4.12,3.84,3.84,3.84,161300
1/9/2006,3.86,3.94,3.82,3.9,3.9,473000
1/10/2006,3.86,3.88,3.8,3.83,3.83,537800
1/11/2006,3.8,3.85,3.79,3.83,3.83,144200
1/12/2006,3.81,3.85,3.79,3.81,3.81,259400
1/13/2006,3.8,3.92,3.79,3.89,3.89,3002900
1/17/2006,3.9,4,3.9,3.94,3.94,119600
1/18/2006,3.97,3.98,3.9,3.91,3.91,67800
1/19/2006,3.9,3.95,3.88,3.93,3.93,57000
1/20/2006,3.98,3.98,3.84,3.88,3.88,294200
1/23/2006,3.85,4.19,3.85,4.12,4.12,94200
1/24/2006,4.13,4.33,4.12,4.25,4.25,164400
1/25/2006,4.22,4.27,4.2,4.24,4.24,182200
1/26/2006,4.28,4.4,4.27,4.35,4.35,112300
1/27/2006,4.38,4.48,4.35,4.41,4.41,210700
1/30/2006,4.41,4.58,4.35,4.51,4.51,134600
1/31/2006,4.55,4.57,4.4,4.47,4.47,374500
2/1/2006,4.5,4.5,4.33,4.35,4.35,164200
2/2/2006,4.3,4.32,4.05,4.1,4.1,467000
2/3/2006,4.05,4.23,4.01,4.2,4.2,123900
2/6/2006,4.17,4.26,4.07,4.26,4.26,143900
2/7/2006,4.23,4.36,4.2,4.34,4.34,103000
2/8/2006,4.32,4.33,4.2,4.32,4.32,56400
2/9/2006,4.3,4.32,4.24,4.3,4.3,97700
2/10/2006,4.28,4.3,4.23,4.24,4.24,50500
2/13/2006,4.22,4.3,4.15,4.25,4.25,80300
2/14/2006,4.3,4.5,4.25,4.45,4.45,81300
2/15/2006,4.4,4.45,4.37,4.45,4.45,66400
2/16/2006,4.5,4.58,4.5,4.5,4.5,139400
2/17/2006,4.57,4.6,4.46,4.48,4.48,99400
2/21/2006,4.45,4.47,4.25,4.37,4.37,78900
2/22/2006,4.43,4.48,4.35,4.47,4.47,53300
2/23/2006,4.5,4.5,4.25,4.27,4.27,66100
2/24/2006,4.25,4.29,4.15,4.28,4.28,75300
2/27/2006,4.25,4.4,4.22,4.39,4.39,37900
2/28/2006,4.36,4.42,4.27,4.38,4.38,120200
3/1/2006,4.43,4.53,4.38,4.51,4.51,57700
3/2/2006,4.5,4.52,4.39,4.47,4.47,75900
3/3/2006,4.43,4.45,4.35,4.4,4.4,83100
3/6/2006,4.31,4.42,4.28,4.38,4.38,88000
3/7/2006,4.3,4.41,4.3,4.4,4.4,95500
3/8/2006,4.39,4.5,4.3,4.43,4.43,61300
3/9/2006,4.46,4.5,4.34,4.43,4.43,70500
3/10/2006,4.45,4.57,4.41,4.55,4.55,31500
3/13/2006,4.57,4.75,4.57,4.69,4.69,92000
3/14/2006,4.65,4.74,4.58,4.72,4.72,61500
3/15/2006,4.72,4.8,4.63,4.78,4.78,64000
3/16/2006,4.8,4.85,4.47,4.51,4.51,87000
3/17/2006,4.53,4.61,4.45,4.51,4.51,473000
3/20/2006,4.47,4.58,4.41,4.56,4.56,123000
3/21/2006,4.5,4.55,4.44,4.47,4.47,95100
3/22/2006,4.54,4.58,4.34,4.43,4.43,138500
3/23/2006,4.44,4.5,4.35,4.48,4.48,44000
3/24/2006,4.49,4.54,4.4,4.43,4.43,73900
3/27/2006,4.45,4.67,4.34,4.58,4.58,170500
3/28/2006,4.55,4.57,4.49,4.52,4.52,46200
3/29/2006,5.02,5.02,4.55,4.71,4.71,158700
3/30/2006,4.77,4.9,4.71,4.8,4.8,608000
3/31/2006,4.77,4.8,4.68,4.68,4.68,149100
4/3/2006,4.68,4.71,4.53,4.68,4.68,313000
4/4/2006,4.65,4.71,4.59,4.62,4.62,152800
4/5/2006,4.6,4.65,4.5,4.59,4.59,79400
4/6/2006,4.59,4.75,4.51,4.62,4.62,123200
4/7/2006,4.65,4.69,4.4,4.46,4.46,132600
4/10/2006,4.46,4.5,4.36,4.46,4.46,108900
4/11/2006,4.48,4.54,4.35,4.51,4.51,103400
4/12/2006,4.02,4.62,4.02,4.56,4.56,127700
4/13/2006,4.51,4.61,4.49,4.57,4.57,36500
4/17/2006,4.6,4.62,4.52,4.62,4.62,70200
4/18/2006,4.65,4.99,4.65,4.93,4.93,134600
4/19/2006,4.92,4.92,4.72,4.78,4.78,365900
4/20/2006,4.79,4.8,4.58,4.59,4.59,137700
4/21/2006,4.7,4.7,4.42,4.48,4.48,2237700
4/24/2006,4.46,4.66,4.43,4.57,4.57,152900
4/25/2006,4.53,4.56,4.42,4.48,4.48,239200
4/26/2006,4.46,4.55,4.42,4.53,4.53,68500
4/27/2006,4.5,4.9,4.45,4.65,4.65,241600
4/28/2006,4.25,4.6,4.25,4.56,4.56,84200
5/1/2006,4.62,4.71,4.44,4.51,4.51,113600
5/2/2006,4.47,4.48,4.4,4.45,4.45,120900
5/3/2006,4.46,4.48,4.33,4.41,4.41,101300
5/4/2006,4.37,4.48,4.32,4.46,4.46,58200
5/5/2006,4.5,4.51,4.47,4.49,4.49,39500
5/8/2006,4.42,4.5,4.41,4.47,4.47,42000
5/9/2006,4.45,4.46,4.28,4.29,4.29,216800
5/10/2006,4.29,4.31,4.23,4.24,4.24,102000
5/11/2006,3.69,4.25,3.69,4.08,4.08,169900
5/12/2006,3.51,4.25,3.51,4,4,243100
5/15/2006,3.17,4.04,3.17,3.92,3.92,150100
5/16/2006,3.92,4.12,3.92,4.05,4.05,440300
5/17/2006,3.99,4.15,3.93,4.07,4.07,84000
5/18/2006,4.06,4.11,4.04,4.04,4.04,35000
5/19/2006,4,4.1,3.95,4.05,4.05,179900
5/22/2006,4.01,4.17,3.96,4.13,4.13,115000
5/23/2006,4.15,4.24,4,4.01,4.01,96500
5/24/2006,4,4.24,3.95,4.18,4.18,90900
5/25/2006,4.22,4.29,4.16,4.23,4.23,95300
5/26/2006,4.31,4.38,4.28,4.35,4.35,98600
5/30/2006,4.3,4.3,4.15,4.2,4.2,101200
5/31/2006,4.22,4.23,4,4.03,4.03,122700
6/1/2006,4.04,4.27,4.02,4.27,4.27,99800
6/2/2006,4.35,4.37,4.12,4.33,4.33,133500
6/5/2006,4.29,4.29,4.15,4.15,4.15,170400
6/6/2006,4.15,4.18,4.01,4.06,4.06,95300
6/7/2006,4.11,4.18,4.02,4.06,4.06,60800
6/8/2006,4.05,4.25,4,4.2,4.2,108000
6/9/2006,4.25,4.26,4.03,4.03,4.03,55500
6/12/2006,4.01,4.1,3.99,4,4,80500
6/13/2006,4,4.11,3.99,4.03,4.03,78500
6/14/2006,4.01,4.21,4,4.2,4.2,52000
6/15/2006,4.28,4.49,4.2,4.45,4.45,102700
6/16/2006,4.44,4.44,4.16,4.21,4.21,743800
6/19/2006,4.18,4.28,4.06,4.23,4.23,134500
6/20/2006,4.23,4.42,4.23,4.4,4.4,286800
6/21/2006,4.42,4.58,4.41,4.53,4.53,118500
6/22/2006,4.48,4.48,4.23,4.33,4.33,87300
6/23/2006,4.25,4.32,4.15,4.16,4.16,87800
6/26/2006,4.17,4.35,4.17,4.29,4.29,81900
6/27/2006,4.3,4.39,4.26,4.3,4.3,96500
6/28/2006,4.3,4.37,4.17,4.29,4.29,100500
6/29/2006,4.34,4.55,4.05,4.55,4.55,148100
6/30/2006,4.53,4.53,4.24,4.53,4.53,183400
7/3/2006,4.42,4.58,4.39,4.56,4.56,124900
7/5/2006,4.4,4.5,4.3,4.48,4.48,71400
7/6/2006,4.47,4.5,4.33,4.5,4.5,72200
7/7/2006,4.33,4.58,4.25,4.29,4.29,73500
7/10/2006,4.29,4.45,4.29,4.42,4.42,34000
7/11/2006,4.37,4.58,4.3,4.58,4.58,60600
7/12/2006,4.55,4.57,4.4,4.41,4.41,89600
7/13/2006,4.3,4.43,4.11,4.15,4.15,145500
7/14/2006,4.05,4.31,4.03,4.19,4.19,93300
7/17/2006,4.12,4.46,4.12,4.34,4.34,75300
7/18/2006,4.4,4.52,4.28,4.5,4.5,63600
7/19/2006,4.53,4.58,4.39,4.49,4.49,115100
7/20/2006,4.55,4.57,4.21,4.28,4.28,78000
7/21/2006,4.22,4.25,4.05,4.22,4.22,146100
7/24/2006,4.28,4.44,4.19,4.43,4.43,96800
7/25/2006,4.45,4.57,4.32,4.49,4.49,116700
7/26/2006,4.4,4.46,4.3,4.33,4.33,97000
7/27/2006,4.38,4.42,4.15,4.37,4.37,66700
7/28/2006,4.4,4.6,4.38,4.55,4.55,157100
7/31/2006,4.47,4.6,4.31,4.59,4.59,137900
8/1/2006,4.52,4.52,4.35,4.41,4.41,56200
8/2/2006,4.43,4.51,4.43,4.47,4.47,25600
8/3/2006,4.42,4.52,4.4,4.48,4.48,246700
8/4/2006,4.5,4.5,4.36,4.44,4.44,66200
8/7/2006,4.37,4.38,4.27,4.35,4.35,61600
8/8/2006,4.37,4.44,4.1,4.16,4.16,104700
8/9/2006,4.26,4.26,4.01,4.07,4.07,63400
8/10/2006,4.04,4.45,3.98,4.41,4.41,52000
8/11/2006,3.79,4.23,3.79,4.1,4.1,251900
8/14/2006,4.12,4.18,4.03,4.06,4.06,96100
8/15/2006,4.15,4.19,4.05,4.1,4.1,62000
8/16/2006,4.14,4.15,4,4.09,4.09,412000
8/17/2006,4.05,4.1,4,4.06,4.06,73800
8/18/2006,4.1,4.1,3.98,4.07,4.07,44200
8/21/2006,4.04,4.04,3.98,4.01,4.01,30400
8/22/2006,4,4.05,3.87,3.99,3.99,179700
8/23/2006,4.03,4.2,3.94,4.18,4.18,134800
8/24/2006,4.21,4.25,4.02,4.14,4.14,222200
8/25/2006,4.12,4.18,4.09,4.17,4.17,249800
8/28/2006,4.2,4.21,4.1,4.19,4.19,234100
8/29/2006,4.24,4.47,4.22,4.45,4.45,665700
8/30/2006,4.44,4.5,4.36,4.39,4.39,203200
8/31/2006,4.44,4.44,3.87,4.13,4.13,1131200
9/1/2006,4.14,4.24,4,4.16,4.16,224500
9/5/2006,4.16,4.18,4.01,4.09,4.09,418600
9/6/2006,4.05,4.07,3.95,3.95,3.95,176100
9/7/2006,3.92,4.06,3.91,4.05,4.05,421200
9/8/2006,4.05,4.05,3.98,4.02,4.02,389100
9/11/2006,4.01,4.04,3.93,4.01,4.01,68900
9/12/2006,4,4.09,3.98,4.07,4.07,100700
9/13/2006,4.1,4.11,4.04,4.1,4.1,134000
9/14/2006,4.07,4.14,4.06,4.1,4.1,224600
9/15/2006,4.14,4.15,4.05,4.1,4.1,342600
9/18/2006,4.08,4.11,4.01,4.01,4.01,94000
