Date,Open,High,Low,Close,Adj Close,Volume
2020-01-06,2.330000,2.410000,2.310000,2.350000,2.350000,107600
2020-01-07,2.360000,2.380000,2.300000,2.340000,2.340000,106700
2020-01-08,2.320000,2.340000,2.250000,2.290000,2.290000,109300
2020-01-09,2.300000,2.340000,2.220000,2.220000,2.220000,141200
2020-01-10,2.220000,2.330000,2.220000,2.270000,2.270000,88400
2020-01-13,2.290000,2.290000,2.220000,2.240000,2.240000,84200
2020-01-14,2.260000,2.330000,2.180000,2.270000,2.270000,362800
2020-01-15,2.330000,2.340000,2.180000,2.190000,2.190000,1165500
2020-01-16,2.240000,2.320000,2.220000,2.260000,2.260000,434200
2020-01-17,2.300000,2.300000,2.180000,2.190000,2.190000,340500
2020-01-21,2.220000,2.220000,2.100000,2.150000,2.150000,296600
2020-01-22,2.140000,2.230000,2.130000,2.160000,2.160000,225100
2020-01-23,2.160000,2.170000,2.100000,2.150000,2.150000,144800
2020-01-24,2.150000,2.180000,2.110000,2.120000,2.120000,106700
2020-01-27,2.110000,2.110000,2.010000,2.050000,2.050000,211000
2020-01-28,2.090000,2.090000,2.020000,2.050000,2.050000,76400
2020-01-29,2.040000,2.070000,1.990000,2.050000,2.050000,179400
2020-01-30,2.030000,2.030000,1.970000,1.970000,1.970000,113700
2020-01-31,1.990000,2.040000,1.980000,2.010000,2.010000,126800
2020-02-03,2.030000,2.060000,1.980000,2.050000,2.050000,116400
2020-02-04,2.040000,2.090000,2.010000,2.050000,2.050000,101000
2020-02-05,2.010000,2.140000,2.010000,2.100000,2.100000,87900
2020-02-06,2.210000,2.240000,2.110000,2.170000,2.170000,334500
2020-02-07,2.170000,2.210000,2.060000,2.090000,2.090000,117900
2020-02-10,2.070000,2.070000,2.010000,2.020000,2.020000,132800
2020-02-11,2.040000,2.160000,2.020000,2.060000,2.060000,164300
2020-02-12,2.060000,2.080000,1.980000,1.990000,1.990000,181000
2020-02-13,2.010000,2.010000,1.930000,1.970000,1.970000,137800
2020-02-14,1.990000,2.040000,1.960000,1.990000,1.990000,92900
2020-02-18,2.000000,2.050000,1.950000,1.980000,1.980000,130400
2020-02-19,2.000000,2.050000,1.930000,2.030000,2.030000,291800
2020-02-20,2.050000,2.070000,2.010000,2.050000,2.050000,116000
2020-02-21,2.040000,2.050000,1.970000,2.010000,2.010000,114800
2020-02-24,1.970000,1.970000,1.850000,1.910000,1.910000,155000
2020-02-25,1.900000,1.910000,1.610000,1.650000,1.650000,338600
2020-02-26,1.710000,1.720000,1.510000,1.610000,1.610000,262900
2020-02-27,1.590000,1.590000,1.510000,1.510000,1.510000,270100
2020-02-28,1.510000,1.600000,1.460000,1.460000,1.460000,303100
2020-03-02,1.490000,1.640000,1.450000,1.630000,1.630000,271800
2020-03-03,1.650000,1.750000,1.540000,1.580000,1.580000,180400
2020-03-04,1.680000,1.680000,1.580000,1.600000,1.600000,108000
2020-03-05,1.600000,1.620000,1.550000,1.560000,1.560000,113200
2020-03-06,1.540000,1.560000,1.380000,1.410000,1.410000,206300
2020-03-09,1.200000,1.320000,1.140000,1.140000,1.140000,220300
2020-03-10,1.260000,1.260000,1.020000,1.140000,1.140000,187700
2020-03-11,1.110000,1.140000,0.950000,0.960000,0.960000,258300
2020-03-12,0.950000,0.950000,0.610000,0.900000,0.900000,379900
2020-03-13,0.990000,1.000000,0.810000,0.820000,0.820000,196300
2020-03-16,0.820000,1.040000,0.730000,1.010000,1.010000,273800
2020-03-17,1.120000,1.120000,0.910000,1.100000,1.100000,235400
2020-03-18,1.170000,1.200000,0.790000,0.900000,0.900000,302100
2020-03-19,0.900000,0.940000,0.840000,0.850000,0.850000,157900
2020-03-20,0.890000,1.090000,0.800000,0.870000,0.870000,344400
