Date,Open,High,Low,Close,Adj Close,Volume
1/3/1984,9.763889,9.833333,9.694444,9.777778,2.262105,385650
1/4/1984,9.965278,10.194444,9.833333,10.194444,2.358501,292500
1/5/1984,10.402778,10.527778,10.277778,10.527778,2.435617,344250
1/6/1984,10.416667,10.527778,10.305556,10.416667,2.409912,194400
1/9/1984,10.444444,10.527778,10.361111,10.444444,2.416339,216450
1/10/1984,10.597222,10.722222,10.472222,10.638889,2.461324,143100
1/11/1984,10.638889,10.888889,10.527778,10.861111,2.512736,397800
1/12/1984,10.861111,11.027778,10.805556,10.972222,2.53844,297900
1/13/1984,11.083333,11.166667,11,11.027778,2.551295,591300
1/16/1984,10.972222,11.027778,10.916667,10.916667,2.525589,103950
1/17/1984,10.916667,10.916667,10.666667,10.722222,2.480604,134100
1/18/1984,10.875,11,10.75,10.972222,2.53844,1352700
1/19/1984,10.972222,11.027778,10.916667,10.972222,2.53844,245250
1/20/1984,10.972222,10.972222,10.833333,10.888889,2.519163,168300
1/23/1984,10.986111,11.055556,10.916667,11.027778,2.551295,246150
1/24/1984,11.097222,11.166667,11.027778,11.166667,2.583427,292500
1/25/1984,11.319444,11.388889,11.25,11.277778,2.609132,243000
1/26/1984,11.277778,11.305556,11.138889,11.166667,2.583427,212400
1/27/1984,11.166667,11.166667,11.027778,11.111111,2.570574,183150
1/30/1984,11.055556,11.083333,11.027778,11.055556,2.557721,99900
1/31/1984,11.055556,11.388889,11.055556,11.222222,2.596279,352350
2/1/1984,11.222222,11.333333,11.027778,11.055556,2.557721,225450
2/2/1984,11.055556,11.083333,10.972222,10.972222,2.53844,230850
2/3/1984,11.111111,11.222222,11,11.055556,2.557721,319950
2/6/1984,10.875,11.027778,10.722222,10.805556,2.499883,67500
2/7/1984,10.666667,10.75,10.583333,10.666667,2.467751,212400
2/8/1984,10.666667,10.861111,10.583333,10.722222,2.480604,395100
2/9/1984,10.722222,10.777778,10.611111,10.666667,2.467751,196650
2/10/1984,10.666667,10.805556,10.666667,10.805556,2.499883,232650
2/13/1984,10.805556,10.888889,10.777778,10.777778,2.493456,324000
2/14/1984,10.777778,11,10.75,11,2.544866,135000
2/15/1984,11,11.222222,10.944444,11.166667,2.583427,543600
2/16/1984,11.166667,11.416667,11.111111,11.333333,2.621987,362250
2/17/1984,11.333333,11.361111,11.138889,11.138889,2.577002,654300
2/21/1984,11.138889,11.194444,11.027778,11.027778,2.551295,108000
2/22/1984,11.027778,11.083333,10.722222,10.722222,2.480604,197550
2/23/1984,10.722222,10.75,10.472222,10.611111,2.454898,466200
2/24/1984,10.611111,10.722222,10.555556,10.666667,2.467751,66600
2/27/1984,10.666667,10.805556,10.472222,10.805556,2.499883,613350
2/28/1984,10.708333,10.777778,10.583333,10.666667,2.467751,294300
2/29/1984,10.666667,10.861111,10.638889,10.722222,2.480604,210150
