Date,Open,High,Low,Close,Adj Close,Volume
1/23/1998,13.25,14.25,13.25,13.75,10.42557,2200
1/26/1998,14.1875,14.1875,13.5,14.1875,10.75729,1200
1/27/1998,14.1875,14.1875,13.5,14.1875,10.75729,1600
1/28/1998,14.1875,14.1875,14,14.1875,10.75729,21400
1/29/1998,13.75,14.125,13.75,14,10.615128,24500
1/30/1998,14.125,14.25,14,14.25,10.804683,29300
2/2/1998,14.25,14.75,14.25,14.625,11.089011,11300
2/3/1998,14.75,15.25,14.75,15,11.373348,5200
2/4/1998,14.75,15.5,14.75,15.5,11.75246,4900
2/5/1998,15.5,15.875,15.5,15.875,12.036796,307800
2/6/1998,16,16,15.75,15.75,11.942019,3600
2/9/1998,16.25,16.375,15.625,16.375,12.415906,1300
2/10/1998,15.75,16.25,15.375,16.25,12.321128,500
2/11/1998,16.75,17,16.75,17,12.889794,6700
2/12/1998,16.75,16.75,16.75,16.75,12.70024,200
2/13/1998,16.75,17,16.5,16.5,12.510683,4000
2/17/1998,15.75,15.75,15.75,15.75,11.942019,200
2/18/1998,16,16,15.75,15.75,11.942019,1600
2/19/1998,17,17,16.625,16.75,12.70024,2100
2/20/1998,17,17,17,17,12.889794,1200
2/23/1998,17,17,17,17,12.889794,1500
2/24/1998,17,17,16,16.5,12.510683,1800
2/25/1998,16.75,17,16.75,17,12.889794,2000
2/26/1998,17,17,16.0625,17,12.889794,20400
2/27/1998,17,17,16,16,12.131577,8700
3/2/1998,16,17,16,17,12.889794,1500
3/3/1998,16.75,16.75,16.75,16.75,12.70024,100
3/4/1998,16.25,16.25,16.25,16.25,12.321128,400
3/5/1998,17,17,17,17,12.889794,2000
3/6/1998,16.25,16.25,16.25,16.25,12.321128,8200
3/9/1998,16.25,16.75,16.25,16.75,12.70024,1600
3/10/1998,17.25,17.25,16.75,17.25,13.07935,7300
3/11/1998,16.875,17.25,16.875,16.875,12.795017,3400
3/12/1998,17.25,17.25,17,17.25,13.07935,13800
3/13/1998,17.25,17.25,17.125,17.125,12.984577,2100
3/16/1998,17.25,17.25,17.25,17.25,13.07935,200
3/17/1998,16.75,16.75,16.75,16.75,12.70024,300
3/18/1998,16.25,16.25,16.25,16.25,12.321128,100
3/19/1998,17.25,17.25,16.5,16.625,12.605463,94000
3/20/1998,16.25,17,16.25,17,12.889794,300
3/23/1998,16.25,17,16.25,16.25,12.321128,2200
3/24/1998,16.375,17,16,16,12.131577,6200
3/25/1998,16.9375,17,16,16.5,12.510683,5200
3/26/1998,17,17,16,16,12.131577,2200
3/27/1998,17,17,16,16,12.131577,8000
3/30/1998,16.75,16.75,16,16,12.131577,700
3/31/1998,16.3125,16.75,16.3125,16.75,12.70024,2500
