Date,Open,High,Low,Close,Adj Close,Volume
7/10/1986,11,11.125,10.96875,11.0625,4.130508,589200
7/11/1986,11.0625,11.0625,10.9375,11,4.107172,320400
7/14/1986,10.9375,11,10.75,10.75,4.013826,434000
7/15/1986,10.8125,10.875,10.3125,10.3125,3.850474,741600
7/16/1986,10.3125,10.5625,10.3125,10.5,3.920483,606400
7/17/1986,10.625,10.8125,10.5625,10.75,4.013826,584000
7/18/1986,10.75,10.875,10.6875,10.6875,3.990488,246800
7/21/1986,10.8125,10.8125,10.6875,10.6875,3.990488,168000
7/22/1986,10.6875,10.875,10.6875,10.8125,4.037164,286400
7/23/1986,10.8125,10.875,10.75,10.75,4.013826,480000
7/24/1986,10.8125,10.9375,10.75,10.75,4.013826,516800
7/25/1986,10.6875,10.8125,10.6875,10.75,4.013826,288800
7/28/1986,10.75,10.75,10.5,10.5,3.920483,512400
7/29/1986,10.5,10.5,10.3125,10.3125,3.850474,363600
7/30/1986,10.3125,10.4375,10.125,10.3125,3.850474,1024800
7/31/1986,10.3125,10.3125,9.625,10.0625,3.75713,3426000
8/1/1986,10,10.25,10,10.125,3.780465,1432400
8/4/1986,10.125,10.3125,9.8125,9.875,3.68712,812400
8/5/1986,9.875,10.0625,9.875,9.9375,3.710457,990000
8/6/1986,10,10,9.625,9.875,3.68712,1485600
8/7/1986,9.75,9.875,9.75,9.8125,3.663784,1701200
8/8/1986,9.8125,10,9.4375,9.5625,3.57044,2858400
8/11/1986,9.625,9.875,9.5625,9.65625,3.605444,1228800
8/12/1986,9.75,9.75,9.375,9.5625,3.57044,2822800
8/13/1986,9.5625,9.9375,9.5,9.875,3.68712,4560000
8/14/1986,9.75,9.9375,9.75,9.875,3.68712,2767600
8/15/1986,9.875,10.125,9.84375,10.125,3.780465,1017200
8/18/1986,10.125,10.1875,9.9375,10,3.733793,765200
8/19/1986,10,10,9.6875,9.875,3.68712,1069600
8/20/1986,9.875,9.9375,9.8125,9.875,3.68712,625600
8/21/1986,9.9375,9.96875,9.75,9.8125,3.663784,1936800
8/22/1986,9.875,9.9375,9.8125,9.9375,3.710457,583600
8/25/1986,9.9375,9.9375,9.6875,9.6875,3.617111,627200
8/26/1986,9.8125,10.0625,9.75,10.0625,3.75713,1796800
8/27/1986,10.125,10.4375,10,10.375,3.873811,1865200
8/28/1986,10.4375,10.75,10.375,10.6875,3.990488,1195200
8/29/1986,10.6875,10.75,10.5625,10.75,4.013826,1402400
9/2/1986,10.75,10.875,10.6875,10.6875,3.990488,1400000
9/3/1986,10.625,10.65625,10.4375,10.5,3.920483,1788800
9/4/1986,10.5625,10.625,10.5,10.625,3.967154,1042800
9/5/1986,10.5625,10.625,10.28125,10.3125,3.850474,2570800
9/8/1986,10.25,10.25,9.8125,9.8125,3.663784,1161600
9/9/1986,9.9375,10.125,9.875,10,3.733793,2043200
9/10/1986,10,10.0625,9.9375,10.0625,3.75713,826400
9/11/1986,10.03125,10.0625,9.625,9.625,3.593773,1991200
9/12/1986,9.625,9.6875,9.0625,9.0625,3.38375,1473200
9/15/1986,9.125,9.1875,9.0625,9.125,3.407084,661200
9/16/1986,9.25,9.3125,9.125,9.3125,3.477095,220000
9/17/1986,9.375,9.5625,9.3125,9.4375,3.523766,786800
9/18/1986,9.5625,9.5625,9.4375,9.5625,3.57044,816000
9/19/1986,9.5,9.9375,9.5,9.875,3.68712,868000
9/22/1986,9.9375,9.9375,9.6875,9.75,3.640449,1065200
9/23/1986,9.75,9.875,9.75,9.78125,3.652115,1162000
9/24/1986,9.75,9.8125,9.71875,9.75,3.640449,717200
9/25/1986,9.75,9.75,9.5,9.5625,3.57044,646000
9/26/1986,9.5,9.5625,9.3125,9.4375,3.523766,636800
9/29/1986,9.3125,9.3125,8.9375,9.1875,3.430422,965600
9/30/1986,9.125,9.4375,9.125,9.375,3.500434,790000
10/1/1986,9.4375,9.75,9.375,9.75,3.640449,509600
10/2/1986,9.625,9.8125,9.625,9.625,3.593773,1281600
10/3/1986,9.6875,9.75,9.5625,9.625,3.593773,620000
10/6/1986,9.625,9.75,9.5625,9.65625,3.605444,166000
10/7/1986,9.6875,9.8125,9.6875,9.75,3.640449,160800
10/8/1986,9.75,10.0625,9.6875,9.875,3.68712,314400
10/9/1986,9.9375,10,9.875,9.96875,3.722126,967200
10/10/1986,9.96875,10,9.875,9.875,3.68712,1108000
10/13/1986,9.875,9.9375,9.875,9.9375,3.710457,516000
10/14/1986,9.9375,9.9375,9.875,9.9375,3.710457,309600
10/15/1986,9.875,10.0625,9.875,10.0625,3.75713,339200
10/16/1986,10.1875,10.25,10.0625,10.125,3.780465,438800
10/17/1986,10.0625,10.0625,9.8125,9.9375,3.710457,2217200
10/20/1986,9.875,9.9375,9.75,9.8125,3.663784,233600
10/21/1986,9.8125,9.8125,9.6875,9.6875,3.617111,516400
10/22/1986,9.6875,9.875,9.5625,9.875,3.68712,476000
10/23/1986,9.6875,9.8125,9.625,9.8125,3.663784,483200
10/24/1986,9.6875,9.9375,9.6875,9.875,3.68712,345200
10/27/1986,9.8125,9.8125,9.625,9.75,3.640449,789600
10/28/1986,9.6875,9.75,9.625,9.6875,3.617111,531200
10/29/1986,9.6875,9.75,9.625,9.75,3.640449,544000
10/30/1986,9.75,10.1875,9.6875,10.0625,3.75713,1017600
