Date,Open,High,Low,Close,Adj Close,Volume
2012-02-23,36840000.000000,37500000.000000,31620000.000000,32160000.000000,32160000.000000,1
2012-02-24,31260000.000000,34680000.000000,30780000.000000,34380000.000000,34380000.000000,1
2012-02-27,36720000.000000,37020000.000000,32820000.000000,34920000.000000,34920000.000000,1
2012-02-28,35700000.000000,35940000.000000,33900000.000000,34140000.000000,34140000.000000,1
2012-02-29,33000000.000000,34560000.000000,31740000.000000,32940000.000000,32940000.000000,2
2012-03-01,32580000.000000,32880000.000000,31260000.000000,31740000.000000,31740000.000000,1
2012-03-02,31620000.000000,32700000.000000,31080000.000000,32220000.000000,32220000.000000,1
2012-03-05,32520000.000000,33240000.000000,31620000.000000,31920000.000000,31920000.000000,1
2012-03-06,35940000.000000,37380000.000000,34620000.000000,36780000.000000,36780000.000000,2
2012-03-07,35820000.000000,36300000.000000,33060000.000000,33240000.000000,33240000.000000,0
2012-03-08,31390000.000000,31690000.000000,30100000.000000,30510000.000000,30510000.000000,2
2012-03-09,29620000.000000,29740000.000000,28050000.000000,29290000.000000,29290000.000000,3
2012-03-12,28480000.000000,28600000.000000,26390000.000000,26590000.000000,26590000.000000,4
2012-03-13,25050000.000000,25430000.000000,23740000.000000,24170000.000000,24170000.000000,5
2012-03-14,23780000.000000,26960000.000000,23690000.000000,25690000.000000,25690000.000000,4
2012-03-15,26300000.000000,26670000.000000,24860000.000000,24860000.000000,24860000.000000,4
2012-03-16,24600000.000000,25430000.000000,24390000.000000,24770000.000000,24770000.000000,3
2012-03-19,24500000.000000,24650000.000000,21450000.000000,21850000.000000,21850000.000000,6
2012-03-20,22730000.000000,23090000.000000,19720000.000000,19740000.000000,19740000.000000,6
2012-03-21,18910000.000000,19500000.000000,17340000.000000,17800000.000000,17800000.000000,6
2012-03-22,19250000.000000,19940000.000000,17780000.000000,18170000.000000,18170000.000000,6
2012-03-23,17960000.000000,18560000.000000,15540000.000000,15660000.000000,15660000.000000,6
2012-03-26,14430000.000000,14500000.000000,12600000.000000,12750000.000000,12750000.000000,4
2012-03-27,13140000.000000,15340000.000000,13040000.000000,15280000.000000,15280000.000000,4
2012-03-28,15220000.000000,18200000.000000,14750000.000000,15460000.000000,15460000.000000,7
2012-03-29,17390000.000000,17390000.000000,15020000.000000,15380000.000000,15380000.000000,5
2012-03-30,14080000.000000,15280000.000000,14000000.000000,14560000.000000,14560000.000000,4
2012-04-02,14690000.000000,14840000.000000,13500000.000000,14520000.000000,14520000.000000,4
2012-04-03,14380000.000000,15870000.000000,14140000.000000,15020000.000000,15020000.000000,5
2012-04-04,16510000.000000,17240000.000000,15400000.000000,15700000.000000,15700000.000000,7
2012-04-05,16460000.000000,16640000.000000,15550000.000000,16360000.000000,16360000.000000,5
2012-04-09,18370000.000000,18500000.000000,17090000.000000,18440000.000000,18440000.000000,6
2012-04-10,18610000.000000,21500000.000000,18110000.000000,21420000.000000,21420000.000000,7
2012-04-11,19290000.000000,20660000.000000,18830000.000000,20400000.000000,20400000.000000,5
2012-04-12,19860000.000000,20100000.000000,16770000.000000,16900000.000000,16900000.000000,7
2012-04-13,16670000.000000,18640000.000000,16640000.000000,18590000.000000,18590000.000000,7
2012-04-16,17240000.000000,19210000.000000,16860000.000000,17900000.000000,17900000.000000,9
2012-04-17,16680000.000000,16820000.000000,15520000.000000,15980000.000000,15980000.000000,7
2012-04-18,16320000.000000,16810000.000000,15580000.000000,16370000.000000,16370000.000000,5
2012-04-19,16320000.000000,17650000.000000,15600000.000000,16680000.000000,16680000.000000,10
2012-04-20,15980000.000000,16040000.000000,15280000.000000,15630000.000000,15630000.000000,9
2012-04-23,17120000.000000,17800000.000000,16430000.000000,16600000.000000,16600000.000000,10
2012-04-24,16470000.000000,16670000.000000,15810000.000000,15810000.000000,15810000.000000,6
2012-04-25,14560000.000000,14690000.000000,13860000.000000,13920000.000000,13920000.000000,8
2012-04-26,13960000.000000,14080000.000000,12680000.000000,12930000.000000,12930000.000000,8
2012-04-27,12800000.000000,13380000.000000,12620000.000000,12840000.000000,12840000.000000,7
2012-04-30,13180000.000000,13570000.000000,13000000.000000,13440000.000000,13440000.000000,5
2012-05-01,13330000.000000,13420000.000000,12250000.000000,12570000.000000,12570000.000000,8
2012-05-02,13150000.000000,13400000.000000,12550000.000000,12780000.000000,12780000.000000,7
2012-05-03,12620000.000000,13670000.000000,12420000.000000,13330000.000000,13330000.000000,8
2012-05-04,13600000.000000,14940000.000000,13550000.000000,14570000.000000,14570000.000000,12
2012-05-07,15230000.000000,15320000.000000,13730000.000000,14070000.000000,14070000.000000,8
2012-05-08,14620000.000000,16120000.000000,14170000.000000,14340000.000000,14340000.000000,15
2012-05-09,15730000.000000,16330000.000000,14510000.000000,15450000.000000,15450000.000000,16
2012-05-10,14510000.000000,14910000.000000,14060000.000000,14420000.000000,14420000.000000,10
2012-05-11,15160000.000000,15200000.000000,13910000.000000,14830000.000000,14830000.000000,12
2012-05-14,16120000.000000,16620000.000000,15680000.000000,16560000.000000,16560000.000000,14
2012-05-15,16630000.000000,18330000.000000,15990000.000000,18190000.000000,18190000.000000,13
2012-05-16,17610000.000000,19610000.000000,17040000.000000,19420000.000000,19420000.000000,14
